DUMMY,DUMMY,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
3,5,0.155401429,0.155401429,0.155401429,0.155401429,0.155401429,0.155401429,0.155401429,0,0,0,0,0,0,0,0
3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,0.453078,0.453078,0.336582,0.336582,0.7821765,0.7821765,0.4115475,0.4115475,0,0,0,0,0,0,0
4,2,0.702792,0.702792,0.593901,0.593901,0.9102465,0.9102465,0,0,0,0,0,0,0,0,0
4,3,0.6282855,0.6282855,0.517653,0.517653,1.04211,1.04211,0.5263875,0.5263875,0,0,0,0,0,0,0
4,4,0.659296,0.659296,0.394828,0.394828,0.769406,0.769406,0.914397,0.914397,0,0,0,0,0,0,0
4,5,2.548764,2.548764,3.176888,3.176888,2.34052775,2.34052775,3.85297275,0,0,0,0,0,0,0,0
4,6,1.713064,1.713064,1.327552,1.327552,1.36752,1.36752,2.40969025,2.40969025,0,0,0,0,0,0,0
4,7,0.00048675,0.00048675,0.00274425,0.00274425,0.01719075,0.01719075,0.0603055,0.0603055,0,0,0,0,0,0,0
4,8,0.0044425,0.0044425,0.01749125,0.01749125,0.02427325,0.02427325,0.15050275,0.15050275,0,0,0,0,0,0,0
4,9,0.0017295,0.0017295,0.00186375,0.00186375,0.0105555,0.0105555,0.010046,0.010046,0,0,0,0,0,0,0
4,10,0.233916,0.233916,0.496716,0.496716,0.717858,0.717858,0.530386,0.530386,0,0,0,0,0,0,0
4,11,0.363216,0.363216,0.569796,0.569796,0.801308,0.801308,1.091448,1.091448,0,0,0,0,0,0,0
4,12,0.119048,0.119048,0.156576,0.156576,0.231428,0.231428,0.194784,0.194784,0,0,0,0,0,0,0
4,13,0.035568,0.035568,0.21436,0.21436,0.136716,0.136716,0.151812,0.151812,0,0,0,0,0,0,0
4,14,0.264596,0.264596,0.82526,0.82526,0.488368,0.488368,0.861194,0.861194,0,0,0,0,0,0,0
4,15,0.04864,0.04864,0.293648,0.293648,0.110676,0.110676,0.146808,0.146808,0,0,0,0,0,0,0
4,16,0.000376,0.000376,0.00938,0.00938,0.01389375,0.01389375,0.02903225,0,0,0,0,0,0,0,0
4,17,0.061612,0.061612,0.285568,0.285568,0.1833975,0.1833975,0,0,0,0,0,0,0,0,0
4,18,0.00222,0.00222,0.011176,0.011176,0.022438,0.022438,0.0187785,0,0,0,0,0,0,0,0
4,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,8.544515979,8.544515979,8.544515979,5.97726083,5.97726083,5.97726083,2.492327264,2.492327264,2.492327264,0,0,0,0,0,0
5,2,0.254994304,0.254994304,0.254994304,0.878230082,0.878230082,0.878230082,0.245688193,0.245688193,0.245688193,0.467666329,0,0,0,0,0
5,3,1.621316262,1.621316262,1.621316262,3.246994764,3.246994764,3.246994764,1.120394269,1.120394269,1.120394269,2.354258096,0,0,0,0,0
5,4,0.291776689,0.291776689,0.291776689,0.804533666,0.804533666,0.804533666,0.524470659,0.524470659,0.524470659,1.447232741,0,0,0,0,0
5,5,0.175579274,0.175579274,0.175579274,0.261951934,0.261951934,0.261951934,0.105097757,0.105097757,0.105097757,0.74590228,0,0,0,0,0
5,6,1.176324656,1.176324656,1.176324656,1.563162184,1.563162184,1.563162184,0.655594305,0.655594305,0.655594305,3.410004104,3.410004104,0,0,0,0
5,7,0.999251178,0.999251178,0.999251178,1.388020596,1.388020596,1.388020596,0.450026522,0.450026522,0.450026522,1.809280441,1.809280441,0,0,0,0
5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,2.933773384,2.933773384,5.418226492,5.418226492,5.418226492,5.418226492,3.371615073,3.371615073,0,0,0,0,0,0,0
6,2,0.645488885,0.645488885,0.857173968,0.857173968,0.857173968,0.857173968,0.982499937,0.982499937,0,0,0,0,0,0,0
6,3,0.8322302,0.8322302,1.026834945,1.026834945,1.026834945,1.026834945,0.414416713,0.414416713,0,0,0,0,0,0,0
6,4,1.183459758,1.183459758,2.029206103,2.029206103,2.029206103,2.029206103,2.029206103,1.106387223,1.106387223,1.106387223,0,0,0,0,0
6,5,1.27368482,1.27368482,1.27368482,2.250232163,2.250232163,2.250232163,2.250232163,2.250232163,1.585495906,1.585495906,1.585495906,0,0,0,0
6,6,0.655440233,0.655440233,0.655440233,1.209200547,1.209200547,1.209200547,1.209200547,1.209200547,0.738053958,0.738053958,0.738053958,0,0,0,0
