Dummy,Dummy,Dummy,1
1,9,17,0.054645077
1,9,18,0.0467851
1,9,19,0.0467851
1,9,20,0.0467851
1,10,1,0.1
1,10,2,0.078046493
1,10,3,0.077430199
1,10,4,0.072841521
1,10,5,0.07205943
1,10,6,0.066710762
1,10,7,0.066461063
1,10,8,0.063764138
1,10,9,0.061889435
1,10,10,0.058906614
1,10,11,0.060499923
1,10,12,0.055868175
1,10,13,0.056893838
1,10,14,0.049068646
1,10,15,0.055912512
1,10,16,0.04630262
1,10,17,0.040493766
1,10,18,0.041025745
1,10,19,0.041323112
1,10,20,0.041414548
1,11,1,0.1
1,11,2,0.070284534
1,11,3,0.067051493
1,11,4,0.066561377
1,11,5,0.06209604
1,11,6,0.06362414
1,11,7,0.056389931
1,11,8,0.058519968
1,11,9,0.059446575
1,11,10,0.054893742
1,11,11,0.055045421
1,11,12,0.054315195
1,11,13,0.05655594
1,11,14,0.047652834
1,11,15,0.039367595
1,11,16,0.041550106
1,11,17,0.043344922
1,11,18,0.046631985
1,11,19,0.050239264
1,11,20,0.053057168
1,12,1,0.1
1,12,2,0.049171015
1,12,3,0.046744832
1,12,4,0.04481582
1,12,5,0.047400324
1,12,6,0.043142526
1,12,7,0.044847739
1,12,8,0.039037751
1,12,9,0.041367101
1,12,10,0.041132276
1,12,11,0.041056963
1,12,12,0.040486183
1,12,13,0.046426682
1,12,14,0.032360074
1,12,15,0.041236089
1,12,16,0.032574082
1,12,17,0.027521119
1,12,18,0.027872926
1,12,19,0.028111371
1,12,20,0.02827792
1,13,1,0.1
1,13,2,0.079372414
1,13,3,0.075858176
1,13,4,0.0757724
1,13,5,0.071392014
1,13,6,0.072532488
1,13,7,0.065669801
1,13,8,0.067821699
1,13,9,0.076363159
1,13,10,0.062351552
1,13,11,0.061858593
1,13,12,0.060948509
1,13,13,0.063984652
1,13,14,0.060886155
1,13,15,0.049945974
1,13,16,0.042486699
1,13,17,0.060172047
1,13,18,0.049422935
1,13,19,0.049422935
1,13,20,0.049422935
1,14,1,0.1
1,14,2,0.075298296
1,14,3,0.076080781
1,14,4,0.073574822
1,14,5,0.074045696
1,14,6,0.070239621
1,14,7,0.070195307
1,14,8,0.070324303
1,14,9,0.072356365
1,14,10,0.064442919
1,14,11,0.062597438
1,14,12,0.063221204
1,14,13,0.064624084
1,14,14,0.062937122
1,14,15,0.05455638
1,14,16,0.048759453
1,14,17,0.044094136
1,14,18,0.061679439
1,14,19,0.061828674
1,14,20,0.071298573
1,15,1,0.1
1,15,2,0.092839743
1,15,3,0.086169297
1,15,4,0.082901257
1,15,5,0.078816606
1,15,6,0.07836577
1,15,7,0.075257621
1,15,8,0.075306048
1,15,9,0.073360328
1,15,10,0.072543528
1,15,11,0.071640262
1,15,12,0.070806169
1,15,13,0.069782675
1,15,14,0.07034836
1,15,15,0.076022525
1,15,16,0.058791199
1,15,17,0.048250872
1,15,18,0.040964253
1,15,19,0.035362401
1,15,20,0.029352664
1,16,1,0.1
1,16,2,0.077770058
1,16,3,0.078142731
1,16,4,0.074757452
1,16,5,0.073504537
1,16,6,0.069720073
1,16,7,0.070311481
1,16,8,0.065991674
1,16,9,0.063924005
1,16,10,0.062404948
1,16,11,0.063732101
1,16,12,0.057028193
1,16,13,0.049929794
1,16,14,0.045853277
1,16,15,0.046874473
1,16,16,0.050762066
1,16,17,0.085854856
1,16,18,0.088943979
1,16,19,0.090351479
1,16,20,0.142721001
1,17,1,0.1
1,17,2,0.083144273
1,17,3,0.083879632
1,17,4,0.079192289
1,17,5,0.078462916
1,17,6,0.074619222
1,17,7,0.071218134
1,17,8,0.071384754
1,17,9,0.07413673
1,17,10,0.064516947
1,17,11,0.065480263
1,17,12,0.063287967
1,17,13,0.056037107
1,17,14,0.055574922
1,17,15,0.047869911
1,17,16,0.048923488
1,17,17,0.049574368
1,17,18,0.067316407
1,17,19,0.067801276
1,17,20,0.069450696
1,18,1,0.1
1,18,2,0.074745827
1,18,3,0.074373435
1,18,4,0.070104264
1,18,5,0.068405295
1,18,6,0.066749676
1,18,7,0.065217002
1,18,8,0.064758521
1,18,9,0.060104804
1,18,10,0.057007533
1,18,11,0.055075385
1,18,12,0.058827001
1,18,13,0.051334029
1,18,14,0.045264256
1,18,15,0.041153214
1,18,16,0.037588778
1,18,17,0.037269316
1,18,18,0.052657049
1,18,19,0.053494473
1,18,20,0.055524164
1,19,1,0.1
1,19,2,0.072165319
1,19,3,0.071744326
1,19,4,0.071182263
1,19,5,0.06664713
1,19,6,0.065028687
1,19,7,0.062355174
1,19,8,0.06167039
1,19,9,0.060031675
1,19,10,0.059819423
1,19,11,0.059608574
1,19,12,0.053590137
1,19,13,0.048529174
1,19,14,0.045671936
1,19,15,0.039505939
1,19,16,0.041717807
1,19,17,0.044485886
