DUMMY,DUMMY,DUMMY,1
1,10,9,10.58382676
1,10,10,10.22541237
1,10,11,9.998582689
1,10,12,10.09271946
1,10,13,10.03064064
1,10,14,10.6225011
1,10,15,10.31955559
1,10,16,10.50437192
1,10,17,10.33945736
1,10,18,10.08467822
1,10,19,10.77328723
1,10,20,465.8456225
1,11,1,3.525495142
1,11,2,5.532357986
1,11,3,6.324794744
1,11,4,6.432200723
1,11,5,7.137437628
1,11,6,7.539248859
1,11,7,8.138984242
1,11,8,8.127098966
1,11,9,8.343198447
1,11,10,8.05855089
1,11,11,7.874609924
1,11,12,8.474291001
1,11,13,7.901709536
1,11,14,8.443762949
1,11,15,8.657762084
1,11,16,7.853084732
1,11,17,8.363979271
1,11,18,8.470765319
1,11,19,8.192014304
1,11,20,101.617388
1,12,1,3.52582157
1,12,2,5.53272466
1,12,3,6.325360253
1,12,4,6.432921706
1,12,5,7.138046515
1,12,6,7.539950197
1,12,7,8.13952816
1,12,8,8.127656158
1,12,9,8.344819727
1,12,10,8.058719461
1,12,11,7.877353994
1,12,12,8.415551556
1,12,13,8.825340119
1,12,14,8.356622169
1,12,15,8.588547863
1,12,16,7.852998943
1,12,17,8.153220931
1,12,18,7.950871756
1,12,19,7.264109546
1,12,20,202.2090958
1,13,1,4.79654355
1,13,2,7.129204957
1,13,3,8.085837964
1,13,4,8.217022169
1,13,5,9.082225024
1,13,6,9.5796635
1,13,7,10.32725942
1,13,8,10.31181724
1,13,9,10.58381065
1,13,10,10.22541656
1,13,11,9.998668184
1,13,12,10.47666689
1,13,13,10.03051392
1,13,14,10.59967719
1,13,15,11.35578779
1,13,16,11.54727963
1,13,17,10.3355348
1,13,18,11.03608866
1,13,19,11.78425672
1,13,20,719.7720736
1,14,1,4.796546342
1,14,2,7.129201123
1,14,3,8.085841607
1,14,4,8.21703487
1,14,5,9.082274361
1,14,6,9.579188585
1,14,7,10.00074428
1,14,8,10.31149339
1,14,9,10.58383702
1,14,10,10.22540017
1,14,11,9.998504722
1,14,12,10.05524367
1,14,13,10.03054658
1,14,14,10.67067256
1,14,15,11.23567293
1,14,16,11.02728578
1,14,17,10.33560139
1,14,18,12.85236764
1,14,19,13.61631802
1,14,20,506.311634
1,15,1,307.1591226
1,15,2,440.3989898
1,15,3,587.3778524
1,15,4,621.6597215
1,15,5,889.6082969
1,15,6,614.7527089
1,15,7,776.1425474
1,15,8,939.6220734
1,15,9,1078.455159
1,15,10,1128.922593
1,15,11,1113.224125
1,15,12,1140.641968
1,15,13,1166.497299
1,15,14,1203.666975
1,15,15,1221.706143
1,15,16,1218.380951
1,15,17,1197.971498
1,15,18,1131.82412
1,15,20,4594.104053
1,16,1,4.796424272
1,16,2,7.129016232
1,16,3,8.085506296
1,16,4,8.216529971
1,16,5,9.081844449
1,16,6,9.578991655
1,16,7,9.909241822
1,16,8,10.31138249
1,16,9,10.58388382
1,16,10,11.01801886
1,16,11,10.86845062
1,16,12,10.94141037
1,16,13,10.03242976
1,16,14,10.11052164
1,16,15,10.03277292
1,16,16,9.958279235
1,16,17,10.33669884
1,16,19,10.40306398
1,16,20,91.61078709
1,17,1,4.204089395
1,17,2,6.085805276
1,17,3,6.844737309
1,17,4,6.948359836
1,17,5,7.628890661
1,17,6,8.018562547
1,17,7,8.307924384
1,17,8,8.589005834
1,17,9,8.800544011
1,17,10,8.660229736
1,17,11,8.348449909
1,17,12,8.460737749
1,17,13,8.372011102
1,17,14,8.792987595
1,17,15,8.635616516
1,17,16,8.318287615
1,17,17,8.609859854
1,17,18,9.353889696
1,17,19,10.29275436
1,17,20,142.5272524
1,18,1,15.77668786
1,18,2,23.7688158
1,18,3,27.38656684
1,18,4,27.89588049
1,18,5,31.34098187
1,18,6,33.38387264
1,18,7,34.8069576
1,18,8,36.46685312
1,18,9,37.63532714
1,18,10,36.0996786
1,18,11,35.6800971
1,18,12,36.05806521
1,18,13,35.27447167
1,18,14,37.39732716
