DUMMY,DUMMY,DUMMY,1
1,9,5,46.81969545
1,9,6,24.83639541
1,9,7,20.52447466
1,9,8,157.6325171
1,9,9,153.6806185
1,9,10,158.4187362
1,9,11,208.3386153
1,9,15,458.9177476
1,9,17,256.936295
1,9,18,307.6346052
1,9,20,271.3803176
1,10,1,123.9752841
1,10,2,148.3587855
1,10,3,124.3431
1,10,4,137.7205799
1,10,5,9.033677742
1,10,6,1.086341729
1,10,9,130.4385173
1,10,10,211.244316
1,10,11,359.7908623
1,10,13,141.983073
1,10,17,224.7998188
1,10,18,369.0822401
1,10,19,414.4575421
1,10,20,297.8357259
1,11,1,7.037647455
1,11,2,8.822384395
1,11,3,7.371108216
1,11,4,4.832379365
1,11,5,2.94656913
1,11,6,2.505246488
1,11,7,2.592155237
1,11,8,5.94646426
1,11,9,13.43896734
1,11,10,15.13702628
1,11,11,17.81502225
1,11,13,27.73043504
1,11,16,44.32166984
1,11,20,64.96849396
1,12,1,22.37657013
1,12,2,29.042895
1,12,3,35.46592459
1,12,4,25.12054771
1,12,5,17.77689263
1,12,6,17.27961297
1,12,7,14.88142397
1,12,8,26.00834472
1,12,9,44.51578932
1,12,10,61.45672621
1,12,11,81.02709601
1,12,14,76.89031169
1,12,16,115.7770134
1,12,17,69.53420466
1,12,18,108.821845
1,12,20,129.2812252
1,13,1,124.147659
1,13,2,137.2042281
1,13,3,119.364688
1,13,4,102.6186265
1,13,5,83.26533488
1,13,6,66.69291954
1,13,7,138.4306567
1,13,8,172.2053551
1,13,9,202.6523347
1,13,10,215.3556234
1,13,11,219.7902185
1,13,12,121.914009
1,13,13,217.9241359
1,13,14,412.0409547
1,13,17,674.3583828
1,13,20,460.1821454
1,14,1,145.322011
1,14,2,181.5375521
1,14,3,176.9867815
1,14,4,174.7023229
1,14,5,91.6874881
1,14,6,8.83137169
1,14,8,17.24914379
1,14,9,209.2019805
1,14,10,260.4763879
1,14,11,466.2625951
1,14,13,322.7279352
1,14,17,683.548265
1,14,20,699.1922565
1,15,1,0.051071674
1,15,3,0.245739318
1,15,4,1.21641746
1,15,5,12.32431389
1,15,8,4.801102763
1,15,9,11.11667263
1,15,10,18.24462995
1,15,11,19.51154832
1,15,12,16.43206666
1,15,13,23.08610948
1,15,14,19.55144186
1,15,15,24.45753029
1,15,16,27.72199564
1,15,17,22.02326594
1,15,18,19.84598164
1,15,19,6.073176242
1,15,20,6344.23893
1,16,1,15.02690211
1,16,2,14.68644761
1,16,3,9.846358435
1,16,4,5.937488357
1,16,5,3.63866649
1,16,6,9.900515157
1,16,8,35.94569315
1,16,9,56.95959927
1,16,13,58.7849806
1,16,16,55.09418775
1,16,17,109.7149477
1,16,18,44.10967856
1,16,20,126.5101346
1,17,1,13.28588679
1,17,2,15.43485954
1,17,3,15.41057809
1,17,4,16.2828024
1,17,5,15.68968168
1,17,6,34.65725004
1,17,8,25.9256851
1,17,9,42.66380361
1,17,11,55.18210522
1,17,13,99.45420564
1,17,16,66.44411653
1,17,17,97.56937809
1,17,20,196.8233485
1,18,1,74.57050588
1,18,2,43.18476833
1,18,3,23.63576412
1,18,4,6.408694429
1,18,5,2.164254065
1,18,6,7.569691194
1,18,8,41.32476746
1,18,9,131.6146179
1,18,10,116.8024123
1,18,13,133.4803959
1,18,17,356.849422
1,18,20,382.6290052
1,19,1,2.901876747
1,19,2,2.484060181
1,19,3,3.316283962
1,19,4,3.17418684
1,19,20,121.2768638
1,20,1,62.83008442
1,20,2,48.43969955
1,20,3,34.81060785
1,20,4,27.82127407
1,20,5,8.264737808
1,20,6,11.64451848
1,20,7,21.41697245
1,20,8,86.41384729
1,20,9,75.34509307
1,20,10,97.20027441
1,20,12,33.23405262
1,20,13,74.25520139
1,20,14,88.3083698
1,20,16,189.4105368
1,20,17,129.1497227
1,20,20,308.3133307
1,21,7,16.05518618
1,21,14,41.58775908
1,21,20,47.00095463
1,22,1,7.744304317
1,22,2,10.42872196
