DUMMY,DUMMY,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,36,0.608446315,0.371859554,0.217801776,1.099291168,0.811655564,0.703406654,0.413650708,0.247559139,0.059550889,0.007581519,0.003908038,0.003039406,0,0,0
1,37,0.495207609,0.175409394,0.14815919,0.194514588,0.252290049,0.257512538,0.313477475,0.155892449,0.048467614,0.019275449,0.005172887,0.00389184,0.00259456,0,0.0005951
1,38,1.794336893,0.926429311,0.901052169,1.12057411,1.621339741,1.846807416,3.040625556,1.505089639,0.545981325,0.154052875,0.055826601,0.033157454,0.004382829,0.004372847,0.002192981
1,39,0.030465221,0.109268493,0.20136832,0.151995165,0.109453152,0.127340578,0.112809838,0.207307871,0.159988771,0.111263876,0.057672376,0.036248939,0.031835482,0.009373839,0.012879494
1,40,0.019294265,0.021623062,0.033795621,0.043842149,0.087368342,0.130909573,0.151535335,0.246552756,0.168826535,0.095444716,0.066633838,0.015844252,0.019272346,0.005253042,0.014784218
1,41,0.145415988,0.170397527,0.284771307,0.393375897,0.529897436,0.602265291,0.686553077,1.275074643,0.700291556,0.422082736,0.23297127,0.074154371,0.034812979,0.018079102,0.008526742
1,42,0.063837258,0.071790776,0.125013444,0.291038675,0.424681279,0.542372001,0.639436351,0.530707864,0.73874926,0.414828361,0.14147486,0.076466754,0.017993263,0.011012106,0.004538064
1,43,0.044306087,0.043722901,0.045318796,0.051655985,0.063604937,0.067170219,0.049620758,0.061384283,0.047600959,0.017724091,0.014120047,0.00529281,0.001985977,0.006025019,0.008764489
1,44,0.069763222,0.078698236,0.081026131,0.104223653,0.13938141,0.11598816,0.087161987,0.088473239,0.072098227,0.031105897,0.022852496,0.015208723,0.007042398,0.001205662,0.014745433
1,45,0.647541269,0.349704083,0.436726399,0.534408268,0.621921133,0.70923718,0.635769314,0.820946969,0.535355695,0.185022288,0.084401814,0.025606503,0.017010701,0.013364827,0.003068576
1,46,0.212481542,0.15857376,0.288723245,0.519355415,0.85441772,0.970130962,0.993068792,0.791852423,0.950357541,0.456677352,0.214285727,0.07019729,0.049249218,0.031313333,0.027879485
