dummy,dummy,dummy,1
1,8,18,0.366336429
1,8,19,0.330692888
1,8,20,12.6535311
1,9,1,11.67571904
1,9,2,10.27396408
1,9,3,9.096606788
1,9,4,6.826426767
1,9,5,5.029430035
1,9,6,3.096354703
1,9,7,2.775650833
1,9,8,15.10977707
1,9,9,14.77870282
1,9,10,15.1727394
1,9,11,19.64357938
1,9,12,0.993633864
1,9,13,1.035687014
1,9,14,1.0586643
1,9,15,42.21267691
1,9,16,0.962061812
1,9,17,24.04617365
1,9,18,28.58293991
1,9,19,0.8188401
1,9,20,62.60462423
1,10,1,11.58546629
1,10,2,13.98909116
1,10,3,11.91449249
1,10,4,13.12985343
1,10,5,1.629789883
1,10,6,0.959446685
1,10,7,0.88548782
1,10,8,0.91423619
1,10,9,12.68763286
1,10,10,19.92539992
1,10,11,33.26956975
1,10,12,0.908031418
1,10,13,13.67651489
1,10,14,0.955695318
1,10,15,0.928439628
1,10,16,0.945067359
1,10,17,21.15523483
1,10,18,34.11325122
1,10,19,38.25757314
1,10,20,68.70761248
1,11,1,0.461450101
1,11,2,0.627085856
1,11,3,0.598304505
1,11,4,0.492092345
1,11,5,0.440519087
1,11,6,0.438793034
1,11,7,0.468789032
1,11,8,0.614802565
1,11,9,0.951552296
1,11,10,1.013297068
1,11,11,1.122249675
1,11,12,0.370198774
1,11,13,1.556587592
1,11,14,0.368865158
1,11,15,0.378213694
1,11,16,2.279250282
1,11,17,0.365379814
1,11,18,0.370044754
1,11,19,0.357867537
1,11,20,7.277291893
1,12,1,1.13154406
1,12,2,1.510433379
1,12,3,1.825649177
1,12,4,1.37841097
1,12,5,1.088407268
1,12,6,1.084240775
1,12,7,1.005668586
1,12,8,1.491228666
1,12,9,2.309211784
1,12,10,3.036777086
1,12,11,3.883784302
1,12,12,0.367632745
1,12,13,0.385534328
1,12,14,3.72400598
1,12,15,0.375190076
1,12,16,5.400767914
1,12,17,3.393769422
1,12,18,5.101207467
1,12,19,0.317332087
1,12,20,14.48113008
1,13,1,11.60097509
1,13,2,12.98552807
1,13,3,11.46659057
1,13,4,9.971767434
1,13,5,8.308413415
1,13,6,6.862164553
1,13,7,13.38359419
1,13,8,16.42087917
1,13,9,19.18463305
1,13,10,20.29529032
1,13,11,20.67386589
1,13,12,11.91105069
1,13,13,20.50884152
1,13,14,38.02453578
1,13,15,1.021668355
1,13,16,1.038896676
1,13,17,61.60119592
1,13,18,0.992905358
1,13,19,1.060217257
1,13,20,106.1592474
1,14,1,13.50600965
1,14,2,16.97415054
1,14,3,16.6507904
1,14,4,16.45706337
1,14,5,9.066150174
1,14,6,1.65637886
1,14,7,0.899756507
1,14,8,2.479601713
1,14,9,19.77390021
1,14,10,24.35475686
1,14,11,42.84871322
1,14,12,0.90465976
1,14,13,29.93793271
1,14,14,0.960029254
1,14,15,1.010861747
1,14,16,0.992113373
1,14,17,62.42800601
1,14,18,1.156314079
1,14,19,1.225045896
1,14,20,108.4579247
1,15,1,15.89264355
1,15,2,22.78278616
1,15,3,30.39903121
1,15,4,32.22272123
1,15,5,46.65891222
1,15,6,31.80247874
1,15,7,40.15152191
1,15,8,48.85704048
1,15,9,56.36589235
1,15,10,59.3454257
1,15,11,58.59885064
1,15,12,59.85792636
1,15,13,61.53970613
1,15,14,63.27971739
1,15,15,64.46672485
1,15,16,64.46358331
1,15,17,63.11295093
1,15,18,59.57836933
1,15,19,0.314178458
1,15,20,565.8639891
1,16,1,0.957136388
1,16,2,1.053323437
1,16,3,0.865810304
1,16,4,0.683403266
1,16,5,0.614188742
1,16,6,0.940535632
1,16,7,0.478451282
1,16,8,2.233446066
1,16,9,3.261224893
1,16,10,0.53198674
1,16,11,0.524765086
1,16,12,0.528287827
1,16,13,3.322734355
1,16,14,0.488169744
1,16,15,0.484415776
1,16,16,3.140950318
1,16,17,5.796494352
1,16,18,2.129762564
1,16,19,0.502294665
1,16,20,10.53160641
1,17,1,1.652232619
1,17,2,2.033001304
1,17,3,2.102401837
1,17,4,2.194587552
1,17,5,2.202844958
1,17,6,4.031473162
1,17,7,0.784828036
1,17,8,3.260513199
1,17,9,4.861703238
1,17,10,0.818109408
1,17,11,6.001566519
1,17,12,0.799263918
1,17,13,10.18606261
1,17,14,0.830650698
1,17,15,0.815784261
1,17,16,7.062610121
1,17,17,10.0304768
1,17,18,0.883637662
1,17,19,0.972329768
1,17,20,32.05756978
1,18,1,4.362264186
1,18,2,3.232742602
1,18,3,2.463528504
1,18,4,1.656339421
1,18,5,1.617744666
1,18,6,1.977374807
1,18,7,1.680596134
1,18,8,3.75603919
1,18,9,8.171952478
1,18,10,7.382623493
1,18,11,1.722754225
1,18,12,1.741003787
1,18,13,8.148048483
1,18,14,1.805667826
1,18,15,1.800717232
1,18,16,1.804458203
1,18,17,18.99585381
1,18,18,1.852468688
1,18,19,1.820114313
1,18,20,31.85276894
1,19,1,1.026838992
1,19,2,1.349446839
1,19,3,1.584016883
1,19,4,1.592226195
1,19,5,1.307053229
1,19,6,1.248029275
1,19,7,1.299286657
1,19,8,1.390160165
1,19,9,1.487418723
1,19,10,1.52866601
1,19,11,1.569748679
1,19,12,1.606010962
1,19,13,1.651797658
1,19,14,1.655498199
1,19,15,1.622045499
1,19,16,1.663479697
1,19,17,1.713533011
1,19,18,1.897891528
1,19,19,1.763336299
1,19,20,19.7529488
1,20,1,3.498462753
1,20,2,2.874681098
1,20,3,2.219095616
1,20,4,1.864300596
1,20,5,0.89728402
1,20,6,1.097891037
