DUMMY,DUMMY,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,16,5.62,45,0,1,0.02,0,0.7,0.6,0.1,40,8,0,0.25,0,0.25,6.092256348,0.3,,1.250137501,0
1,17,6.4,45,0,1,0.02,0,0.7,0.6,0.05,40,8,0,0.25,0,0.25,32.16024786,0.3,,0.845093804,0
1,18,6.05,55,0,1,0.02,0,0.7,1,0.08,45,8,0,0.25,0,0.25,2.752780099,0.3,,1.608524749,0
1,19,6,60,0,1,0.02,0,0.7,1,0.08,45,8,0,0.25,0,0.25,143.8256112,0.3,,0.472741811,0
1,20,6.5,45,0,1,0.02,0,0.7,0.6,0.1,45,7,0,0.25,0,0.25,58.74401564,0.3,,0.683096289,0
1,21,6.15,50,0,1,0.01,0,0.7,0.6,0.08,45,7,0,0.25,0,0.25,782.5265617,0.3,,0.288795795,0
1,22,6.45,55,0,1,0.01,0,0.7,0.6,0.08,45,7,0,0.25,0,0.25,170.9842609,0.3,,0.478554126,0
1,23,6.450507733,42.56150971,0,1,0.01,0,0.7,1,0.12,45,5,0,0.25,0,0.25,81144.11714,0.3,,0.14939738,0
1,24,0.837524391,36.51162985,0,1,0.01,0,0.7,1,0.05,45,9,0,0.25,0,0.25,0,0.3,,0,0
1,25,6.452710334,56.36532841,0,1,0.01,0,0.7,1,0.05,45,9,0,0.25,0,0.25,7857268.817,0.3,,0.018362715,0
1,26,6.2,20,0,1,1,0,0.7,1,0.13,35,1,0,0.25,0,0.25,8466,0.3,82,0,0
1,27,6.2,20,0,1,1,0,0.7,1,0.13,35,1,0,0.25,0,0.25,16307,0.3,77,0,0
1,28,6.2,20,0,1,1,0,0.7,1,0.13,35,1,0,0.25,0,0.25,207930,0.3,65,0,0
1,29,6.2,20,0,1,1,0,0.7,1,0.13,35,1,0,0.25,0,0.25,129921,0.3,68,0,0
1,30,6.2,20,0,1,1,0,0.7,1,0.13,35,1,0,0.25,0,0.25,114278,0.3,101,0,0
1,31,6.2,20,0,1,1,0,0.7,1,0.13,35,1,0,0.25,0,0.25,3679,0.3,105,0,0
1,32,6.2,20,0,1,1,0,0.7,1,0.13,35,1,0,0.25,0,0.25,14741,0.3,,0,0
1,33,6,32,0,1,0,0,0.7,1,0.07,45,3,879970.6249,0.25,0,0.25,0.146738918,0.3,,3.708335553,0
1,34,6.1,50,0,1,0,0,0.7,1,0.04,45,6,349596316.4,0.25,0,0.25,0,0.3,,0.890708278,0
1,35,6,45,0,1,0,0,0.7,1,0.04,45,6,19849.57122,0.25,0,0.25,0,0.3,,10.46473003,0
1,36,6.1,37,0,1,0,0,0.7,1,0.07,45,3,363952.4941,0.25,0,0.25,0,0.3,,4.54775073,0
1,37,6,50,0,1,0,0,0.7,1,0.04,45,6,10792799.36,0.25,0,0.25,0,0.3,,2.072460742,0
1,38,5.9,45,0,1,0,0,0.7,1,0.04,45,6,6377.921078,0.25,0,0.25,0,0.3,,13.55622175,0
1,39,5.8,55,0,1,0,0,0.7,1,0.05,45,7,41665156.8,0.25,0,0.25,0,0.3,,1.469271415,0
1,40,6.12,40,0,1,0,0,0.7,1,0.045,45,7,190736696.4,0.25,0,0.25,0,0.3,,1.12098005,0
1,41,5.87,50,0,1,0,0,0.7,1,0.035,45,7,209936.2511,0.25,0,0.25,0,0.3,,5.578669922,0
1,42,5.95,45,0,1,0,0,0.7,1,0.035,45,8,1023258.209,0.25,0,0.25,0,0.3,,4.093940316,0
1,43,5.65,55,0,1,0,0,0.7,1,0.05,45,7,2145473776,0.25,0,0.25,0,0.3,,0.528297358,0
1,44,6,45,0,1,0,0,0.7,1,0.045,45,7,333943924.8,0.25,0,0.25,0,0.3,,0.928974874,0
1,45,5.8,50,0,1,0,0,0.7,1,0.035,45,7,209040.5939,0.25,0,0.25,0,0.3,,5.620085019,0
1,46,5.7,50,0,1,0,0,0.7,1,0.035,45,8,111601.8041,0.25,0,0.25,0,0.3,,6.588563805,0
1,47,6.9,65,0,1,0,0,0.7,1,0.07,45,5,209059.0377,0.25,0,0.25,0,0.3,,7.81872963,0
1,48,5.62,45,0,1,0,0,0.7,1,0.05,45,8,52711171.09,0.25,0,0.25,0,0.3,,1.717491898,0
1,49,6.4,45,0,1,0,0,0.7,1,0.025,45,8,2677935825,0.25,0,0.25,0,0.3,,0.781821746,0
1,50,6.05,55,0,1,0,0,0.7,1,0.04,45,8,60077.42358,0.25,0,0.25,0,0.3,,10.08805619,0
1,51,6,60,0,1,0,0,0.7,1,0.04,45,8,6033567904,0.25,0,0.25,0,0.3,,1.469250903,0
1,52,6.5,45,0,1,0,0,0.7,1,0.05,45,7,34424926.19,0.25,0,0.25,0,0.3,,3.805126307,0
